split,policy_name,policy_family,trade_count,top_1_trade_pnl,top_3_trade_pnl,top_5pct_trade_pnl,top_10pct_trade_pnl,top_5pct_trade_count,top_10pct_trade_count,total_net_pnl,top_1_share,top_5pct_share,top_10pct_share,remove_top_1_pnl,remove_top_5pct_pnl,remove_top_10pct_pnl
train,v3_1d_donchian_20_10_atr4,1d_donchian,21,0.926673485,2.3850399599999994,1.6634283149999995,2.3850399599999994,2,3,-0.6580112899999986,-1.4082942026724223,-2.527963182820166,-3.6246185988693362,-1.5846847749999986,-2.3214396049999984,-3.0430512499999978
train,v3_1d_donchian_55_20_atr5,1d_donchian,10,1.0621831300000006,1.1137707950000006,1.0621831300000006,1.0621831300000006,1,1,-0.7882623399999993,-1.347499526616991,-1.347499526616991,-1.347499526616991,-1.85044547,-1.85044547,-1.85044547
train,v3_1d_ema_50_200_atr5,1d_ema,35,1.068456265000001,2.765340795000001,2.112997045000001,3.4042259200000022,2,4,1.6508167100000006,0.6472288889055409,1.2799707152225277,2.0621465117105586,0.5823604449999997,-0.46218033500000044,-1.7534092100000016
train,v3_4h_donchian_100_30_atr5,4h_donchian,35,1.455961909999999,2.9500063249999995,2.3390307349999993,3.436375374999999,2,4,-1.339346419999999,-1.0870689526313888,-1.7463971233073525,-2.5657106508710434,-2.795308329999998,-3.678377154999998,-4.775721794999998
train,v3_4h_donchian_20_10_atr4,4h_donchian,100,1.041927425,2.2958314199999985,3.3785437999999983,4.803414639999999,5,10,-5.388133239999995,-0.19337447286288728,-0.6270341970979176,-0.8914803005131334,-6.430060664999995,-8.766677039999994,-10.191547879999995
train,v3_4h_donchian_55_20_atr4,4h_donchian,55,1.1211378,2.570624935,2.570624935,4.32992128,3,6,-4.728818925000001,-0.2370862191556637,-0.5436082404022268,-0.9156453965933997,-5.849956725,-7.29944386,-9.058740205
train,v3_4h_donchian_55_with_risk_filters,risk_filtered,13,0.7542539150000003,1.5489722150000003,0.7542539150000003,1.2430757150000002,1,2,1.2616624350000003,0.5978254516232784,0.5978254516232784,0.9852680721210503,0.50740852,0.50740852,0.018586720000000057
train,v3_4h_ema_50_200_atr4,4h_ema,264,1.23119424,2.872082955,7.597750765,9.27713352,14,27,-1.2617110499999935,-0.9758131546838765,-6.021783486005008,-7.3528194272373595,-2.4929052899999933,-8.859461814999992,-10.538844569999993
train,v3_4h_vol_compression_donchian_breakout,vol_compression,66,0.9656493050000003,2.219553299999999,2.667520799999999,3.1860747649999985,4,7,-4.252638159999996,-0.22707064854066994,-0.6272625837510712,-0.7491995897906353,-5.218287464999996,-6.920158959999995,-7.438712924999994
train,v3_ensemble_core,ensemble,269,1.1996985,2.840587215,7.468686265,9.272878535,14,27,-2.3893999099999945,-0.5020919666812923,-3.125758159503746,-3.8808399113901455,-3.5890984099999947,-9.858086174999993,-11.662278444999995
validation,v3_1d_donchian_20_10_atr4,1d_donchian,6,0.68392175,1.2437264849999998,0.68392175,0.68392175,1,1,-0.7421702850000003,-0.9215159429348478,-0.9215159429348478,-0.9215159429348478,-1.4260920350000004,-1.4260920350000004,-1.4260920350000004
validation,v3_1d_donchian_55_20_atr5,1d_donchian,3,0.68392175,1.2267411300000002,0.68392175,0.68392175,1,1,1.2267411300000002,0.557511061848884,0.557511061848884,0.557511061848884,0.5428193800000002,0.5428193800000002,0.5428193800000002
validation,v3_1d_ema_50_200_atr5,1d_ema,10,0.7184044999999999,0.9147767049999999,0.7184044999999999,0.7184044999999999,1,1,-0.9035383400000008,-0.7951012903337331,-0.7951012903337331,-0.7951012903337331,-1.6219428400000007,-1.6219428400000007,-1.6219428400000007
validation,v3_4h_donchian_100_30_atr5,4h_donchian,16,0.1190990249999994,0.2227827349999995,0.1190990249999994,0.2251647749999994,1,2,-3.0640307549999997,-0.038870048809284685,-0.038870048809284685,-0.07348646048430392,-3.183129779999999,-3.183129779999999,-3.289195529999999
validation,v3_4h_donchian_20_10_atr4,4h_donchian,42,0.4856227800000006,1.1524967199999998,1.1524967199999998,1.5213452199999995,3,5,-3.035582795,-0.15997678626980116,-0.3796624232744737,-0.5011707216505026,-3.5212055750000006,-4.188079515,-4.5569280149999996
validation,v3_4h_donchian_55_20_atr4,4h_donchian,24,0.2207417149999999,0.4975501899999993,0.37845116499999987,0.4975501899999993,2,3,-2.2936277850000013,-0.09624129793143388,-0.16500112506266995,-0.21692717242697643,-2.5143695000000013,-2.6720789500000013,-2.7911779750000005
validation,v3_4h_donchian_55_with_risk_filters,risk_filtered,4,0.02455,-0.1454024050000001,0.02455,0.02455,1,1,-0.3778615900000005,-0.06497087994574935,-0.06497087994574935,-0.06497087994574935,-0.40241159000000054,-0.40241159000000054,-0.40241159000000054
validation,v3_4h_ema_50_200_atr4,4h_ema,112,1.2853655999999996,1.9497466649999995,2.55253192,3.1446880449999997,6,12,-2.7222931949999967,-0.4721628083120566,-0.9376403411242421,-1.155161409790764,-4.007658794999996,-5.274825114999997,-5.866981239999996
validation,v3_4h_vol_compression_donchian_breakout,vol_compression,26,0.2732617499999999,0.5611507499999997,0.4257042499999998,0.5611507499999997,2,3,-0.9149454099999993,-0.29866453999698206,-0.4652783055111453,-0.61331609937253,-1.1882071599999993,-1.340649659999999,-1.476096159999999
validation,v3_ensemble_core,ensemble,117,1.2853655999999996,2.080765025,2.7697833549999995,3.237235084999999,6,12,-3.1857684699999975,-0.40347112858455797,-0.8694239336859284,-1.0161551649106508,-4.471134069999997,-5.955551824999997,-6.423003554999997
oos,v3_1d_donchian_20_10_atr4,1d_donchian,8,1.2032861749999988,1.3297784699999986,1.2032861749999988,1.2032861749999988,1,1,-1.9810969800000013,-0.6073837813835837,-0.6073837813835837,-0.6073837813835837,-3.184383155,-3.184383155,-3.184383155
oos,v3_1d_donchian_55_20_atr5,1d_donchian,5,0.6681638699999994,0.5775395649999995,0.6681638699999994,0.6681638699999994,1,1,-2.726438670000001,-0.24506836605277432,-0.24506836605277432,-0.24506836605277432,-3.3946025400000006,-3.3946025400000006,-3.3946025400000006
oos,v3_1d_ema_50_200_atr5,1d_ema,18,1.786115199999999,2.4116884999999986,1.786115199999999,2.3194434499999987,1,2,0.8733676249999983,2.045089775339454,2.045089775339454,2.655747000010452,-0.9127475750000006,-0.9127475750000006,-1.4460758250000003
oos,v3_4h_donchian_100_30_atr5,4h_donchian,12,1.990155915000001,2.290332945000001,1.990155915000001,2.260002365000001,1,2,-1.2911704099999999,-1.5413580574542451,-1.5413580574542451,-1.7503517331999585,-3.281326325000001,-3.281326325000001,-3.551172775000001
oos,v3_4h_donchian_20_10_atr4,4h_donchian,49,1.2212221649999997,1.4743985699999997,1.4743985699999997,1.60704012,3,5,-4.009793355,-0.3045598755051056,-0.36769938983551426,-0.40077878776374,-5.23101552,-5.484191925,-5.616833475
oos,v3_4h_donchian_55_20_atr4,4h_donchian,27,1.16827527,1.4390433999999999,1.3131090499999998,1.4390433999999999,2,3,-3.3566024800000016,-0.3480529127178621,-0.3912018351365811,-0.4287202338002203,-4.524877750000002,-4.669711530000002,-4.795645880000001
oos,v3_4h_donchian_55_with_risk_filters,risk_filtered,9,1.16827527,1.165319665,1.16827527,1.16827527,1,1,0.25589565499999983,4.565436134505687,4.565436134505687,4.565436134505687,-0.9123796150000003,-0.9123796150000003,-0.9123796150000003
oos,v3_4h_ema_50_200_atr4,4h_ema,99,1.6992196650000004,2.287702615,2.4870089200000005,2.6720595500000015,5,10,-1.4896913249999988,-1.1406521851095575,-1.669479360094953,-1.7937001479148733,-3.1889109899999992,-3.976700244999999,-4.161750875
oos,v3_4h_vol_compression_donchian_breakout,vol_compression,31,0.06836125,0.18732755000000012,0.13264155000000022,0.19908520999999982,2,4,-2.291596555000001,-0.02983127629985461,-0.0578817199347728,-0.08687620408820163,-2.359957805000001,-2.424238105000001,-2.4906817650000006
oos,v3_ensemble_core,ensemble,99,1.6992196650000004,2.287702615,2.4870089200000005,2.703325945000001,5,10,-1.1529297649999979,-1.4738275622539796,-2.157120924013966,-2.344744690497262,-2.852149429999998,-3.6399386849999984,-3.856255709999999
