quarter,trend_segment_count,uptrend_count,downtrend_count,avg_duration_bars,median_duration_bars,avg_trend_return,median_trend_return,avg_mfe,avg_mae,trend_opportunity_days_ratio,strongest_month,weakest_month
2023Q1,136,62,74,37.06617647058823,14.0,0.2174992206358474,0.07366016625128102,0.2918435012795822,-0.05650126800122963,0.15682967959527824,2023-01,2023-02
2023Q2,115,66,49,38.84347826086957,14.0,0.125186850811409,0.044879753529222466,0.17687173329768624,-0.03622745080511007,0.13827993254637436,2023-06,2023-04
2023Q3,118,61,57,45.94915254237288,13.0,0.2172068081068196,0.044069270313082165,0.3136831556354508,-0.03260164465501464,0.2209106239460371,2023-07,2023-08
2023Q4,113,31,82,33.63716814159292,14.0,0.12290308387698576,0.05559146735617304,0.19024083636321765,-0.03512485287803961,0.11551433389544688,2023-12,2023-10
2024Q1,127,37,90,36.0,13.0,0.1504149207715701,0.0706361241918747,0.26880793002593983,-0.05593775927312132,0.19224283305227655,2024-03,2024-02
2024Q2,128,88,40,33.390625,10.0,0.12738650557434467,0.05720811974032791,0.2083420316427032,-0.0515648114499767,0.13490725126475547,2024-04,2024-06
2024Q3,124,46,78,39.00806451612903,16.0,0.22631702294250594,0.06861240834036675,0.3433959728698978,-0.045657147200459595,0.14249578414839797,2024-08,2024-07
2024Q4,121,39,82,38.53719008264463,21.0,0.18712188240812294,0.08612565445026177,0.37305364395566804,-0.09345863162969568,0.16779089376053963,2024-12,2024-10
2025Q1,122,72,50,34.704918032786885,15.0,0.1601917750308004,0.08484727964828209,0.381291910397065,-0.10591815853318354,0.23608768971332209,2025-02,2025-01
2025Q2,131,55,76,34.786259541984734,12.0,0.16400947369729676,0.06675551247879796,0.3404434527910444,-0.09513248000857859,0.14080944350758853,2025-05,2025-06
2025Q3,109,42,67,39.15596330275229,13.0,0.16475217428087843,0.07965348483996171,0.2568853547617305,-0.04780993920812932,0.20741989881956155,2025-08,2025-09
2025Q4,125,77,48,35.504,17.0,0.12858021377974388,0.08372702482558347,0.2394884872835721,-0.05832963085075368,0.13322091062394603,2025-10,2025-11
2026Q1,112,58,54,32.473214285714285,15.5,0.12207715339488222,0.06347790419401711,0.20296807630280006,-0.0476040121485074,0.07588532883642496,2026-03,2026-01
