month,day_count,trade_count,round_trip_count,net_pnl,round_trip_net_pnl_estimated,avg_daily_pnl,win_day_count,loss_day_count,end_balance
2025-01,31,1216,608,285.265100000002,285.2651000000019,9.202100000000065,17,14,5285.265100000002
2025-02,28,1114,557,-106.96255999999823,-106.96255999999822,-3.8200914285713656,14,14,5178.302540000004
2025-03,31,1224,612,-95.33644000000076,-95.33644000000078,-3.0753690322580893,14,17,5082.966100000003
2025-04,30,1188,594,458.24824999999726,458.2482499999975,15.274941666666574,19,11,5541.21435
2025-05,31,1210,605,46.04424000000427,46.044240000003896,1.4852980645162668,16,15,5587.258590000005
2025-06,30,1100,550,-535.4622000000015,-535.4622000000016,-17.848740000000053,11,19,5051.796390000003
2025-07,31,1202,601,-778.3116599999951,-778.3116599999953,-25.106827741935327,10,21,4273.484730000008
2025-08,31,1190,595,-656.6976999999943,-656.6976999999944,-21.183796774193365,10,21,3616.787030000014
2025-09,30,1146,573,-125.30525999999786,-125.30525999999787,-4.176841999999929,14,16,3491.481770000016
2025-10,31,1240,620,123.02634000000597,123.02634000000597,3.9685916129034187,13,18,3614.5081100000216
2025-11,30,1176,588,-940.7606399999961,-940.760639999996,-31.35868799999987,6,24,2673.7474700000244
2025-12,31,1198,599,-170.56563999998943,-170.56563999998974,-5.502117419354498,11,20,2503.1818300000346
2026-01,31,1176,588,-446.5140299999911,-446.5140299999914,-14.403678387096488,13,18,2056.667800000044
2026-02,28,1040,520,-727.6549800000024,-727.6549800000026,-25.987677857142945,9,19,1329.0128200000404
2026-03,31,1216,608,-731.9559999999972,-731.9559999999975,-23.61148387096765,11,20,597.0568200000425
