tier,feature_name,feature_group,data_source,endpoint_name,endpoint_path,coverage_start,coverage_end,can_cover_2023_2026,requires_segment_download,requires_okx_historical_file,requires_private_api_key,usable_for_research,status,notes
Tier 1,actual funding rate,funding,local OKX Historical Market Data funding CSV,Funding Rate History,/api/v5/public/funding-rate-history,2023-01-01,2026-03-31,true,false,false,false,true,available_2023_2026,Existing actual OKX funding data is the source of truth for funding-derived features.
Tier 1,funding dispersion,funding,local OKX Historical Market Data funding CSV,Funding Rate History,/api/v5/public/funding-rate-history,2023-01-01,2026-03-31,true,false,false,false,true,available_2023_2026,Existing actual OKX funding data is the source of truth for funding-derived features.
Tier 1,funding sign breadth,funding,local OKX Historical Market Data funding CSV,Funding Rate History,/api/v5/public/funding-rate-history,2023-01-01,2026-03-31,true,false,false,false,true,available_2023_2026,Existing actual OKX funding data is the source of truth for funding-derived features.
Tier 1,funding trend,funding,local OKX Historical Market Data funding CSV,Funding Rate History,/api/v5/public/funding-rate-history,2023-01-01,2026-03-31,true,false,false,false,true,available_2023_2026,Existing actual OKX funding data is the source of truth for funding-derived features.
Tier 1,mark price,mark_index_basis,OKX public mark price / mark price candle history,Mark Price,/api/v5/public/mark-price,2023-01-01,2026-03-31,true,true,false,false,true,segment_download_ready,Current mark price is directly available when probe succeeds; 2023-2026 research requires mark price candle history.
Tier 1,index price,mark_index_basis,OKX public index ticker / index candle history,Index Ticker,/api/v5/market/index-tickers,2023-01-01,2026-03-31,true,true,false,false,true,segment_download_ready,Current index price is directly available when probe succeeds; 2023-2026 research requires index candle history.
Tier 2,taker buy/sell volume,taker_flow,OKX public API segmented download,Taker Buy/Sell Volume,/api/v5/rubik/stat/taker-volume,,,false,true,true,false,false,recent_available_full_window_unconfirmed,start_boundary_probe_failed_or_empty
Tier 2,contract long/short account ratio,long_short_ratio,OKX public API segmented download,Contract Long/Short Account Ratio,/api/v5/rubik/stat/contracts/long-short-account-ratio,,,false,true,true,false,false,recent_available_full_window_unconfirmed,start_boundary_probe_failed_or_empty; docs_added_after_requested_start:2024-06-13
Tier 2,contracts open interest and volume,open_interest,OKX public API segmented download,Contracts Open Interest and Volume,/api/v5/rubik/stat/contracts/open-interest-volume,,,false,true,true,false,false,recent_available_full_window_unconfirmed,start_boundary_probe_failed_or_empty
Tier 2,open interest history,open_interest,OKX public API segmented download,Contract Open Interest History,/api/v5/rubik/stat/contracts/open-interest-history,,,false,true,true,false,false,recent_available_full_window_unconfirmed,start_boundary_probe_failed_or_empty; docs_added_after_requested_start:2024-06-13
Tier 2,mark price candle history,mark_index_basis,OKX public API segmented download,Mark Price Candles History,/api/v5/market/history-mark-price-candles,2023-01-01,2026-03-31,true,true,false,false,true,segment_download_ready,
Tier 2,index price candle history,mark_index_basis,OKX public API segmented download,Index Candles History,/api/v5/market/history-index-candles,2023-01-01,2026-03-31,true,true,false,false,true,segment_download_ready,
Tier 3,premium/basis historical,mark_index_basis,Premium History endpoint or mark-index derived proxy,Premium History,/api/v5/public/premium-history,2023-01-01,2026-03-31,true,true,false,false,true,derive_from_mark_index,Use premium history if it covers swaps; otherwise derive a basis proxy from mark price minus index price.
Tier 3,detailed liquidation data,liquidation,not confirmed in this audit,,,,,false,false,true,false,false,unavailable_or_out_of_scope,No multi-year public historical liquidation endpoint was accepted for this audit.
Tier 3,private account level features,private_account,private account endpoints,,,,,false,false,false,true,false,forbidden_private_key_required,Private account features are excluded by the no-key research scope.
